"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Claim information to insolvency practitioner (IP)","113000","","","103687","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Notice Pay - compensation of loss of pay during notice period (RP2)","113000","","","103687","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Education","DfE","Teaching Agency","","Initial teacher training (ITT) registration","89250","68068","","103465","","","Registering","http://www.education.gov.uk/get-into-teaching/apply-for-teacher-training/apply-now","","","","Citizen (mainstream)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Pet passports","100000","","","","","","Requesting a licence/authorisation","http://www.defra.gov.uk/wildlife-pets/pets/travel/pets/pet-owners/documentation/","","","","Citizen (mainstream)","Cost recovery"
"Foreign and Commonwealth Office","FCO","Foreign and Commonwealth Office","FCO","Apply for Legalisation and Apostille certificate","90406","","","98705","","","Requesting a licence/authorisation","https://secure.fco.gov.uk/en/secure/public-legalisation/","","","","Citizen (mainstream)","Fiscal"
"HM Revenue and Customs","HMRC","Valuation Office Agency","VOA","Billing authority updates to the rating list","95000","49000","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Department for Environment, Food and Rural Affairs","Defra","Farm Surveys (interactions)","90000","","","90000","","","Providing/reporting information","https://secure.services.defra.gov.uk/wps/portal/wfa/FarmSurveys","","","","Business","Fiscal"
"Home Office","Home Office","UK Border Agency","UKBA","Allegations of immigration abuse and commodity related crime","100000","","","89661","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Education","DfE","Teaching Agency","","Graduate teacher programme (GTP) application service","30587","30587","","85420","","","Providing/reporting information","http://www.education.gov.uk/get-into-teaching/teacher-training-options/school-based-training/gtp/how-to-apply.aspx","","","","Citizen (mainstream)","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Driving licence: renewal after disqualification","84294","","","","","","Requesting a licence/authorisation","https://www.gov.uk/reapply-licence-revoked","","","","Citizen (mainstream)","Cost recovery"
"HM Revenue and Customs","HMRC","HM Revenue and Customs","HMRC","Child Trust Fund","82399","","","","","","Amending/deleting information","https://www.gov.uk/child-trust-funds/overview","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Proof of debt (recover and queries in relation to debt)","87301","","","80106","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Transport","DfT","Driver and Vehicle Licensing Agency","DVLA","Exchange of foreign driving licence","77490","","","","","","Requesting a licence/authorisation","https://www.gov.uk/exchange-a-foreign-driving-licence","","","","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Ordnance Survey","OS","Ordnance Survey Limited - physical product fulfilment","65812","65812","","73437","","","Ordering goods","","","","","Business","Cost recovery"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Notification of construction project (F10)","","","","73208","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Marine Management Organisation","MMO","Licences to fish and sell commercially","","","","72000","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Land Registry","HMLR","Land Registry: document views","71499","","","","","","Requesting information","http://www.landregistry.gov.uk/professional/business-e-services","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Advice and diagnostic services (samples)","70000","","","","","","Providing/reporting information","http://vla.defra.gov.uk/services/ser_tests.htm","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Ordnance Survey","OS","Ordnance Survey Limited - digital product subscriptions","16103","16103","","61664","","","Requesting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Apply for Pension Scheme Contributions (RP15 and RP15A)","66000","","","60561","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Student Loans Company","SLC","Student finance applications: part-time study","95000","","","60249","","","Requesting benefits/grants/loans","","","","","Citizen (mainstream)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Plant health imports (inspections)","60000","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Ministry of Justice","MoJ","Youth Justice Board for England and Wales","YJB","Youth Justice Board publications: orders","60000","","","60000","","","Ordering goods","http://www.justice.gov.uk/youth-justice/publications","","","","Business","Cost recovery"
"Department for Education","DfE","Department for Education","DfE","DfE Single Online Publications Site - printed copies ordered online","110131","110131","","58653","","","Ordering goods","https://www.education.gov.uk/publications/","","","","Business","Fiscal"
"Ministry of Justice","MoJ","Criminal Injuries Compensation Authority","CICA","Criminal injuries compensation applications","58000","","","58000","","","Providing/reporting information","http://www.justice.gov.uk/victims-and-witnesses/cica/apply-online","","","","Citizen (mainstream)","Fiscal"
"Attorney General's Office","AGO","Crown Prosecution Service","CPS","Reimbursing witness expenses","55432","","","","","","Requesting benefits/grants/loans","","","","","Citizen (mainstream)","Fiscal"
"Department for Transport","DfT","Driving Standards Agency","DSA","Driving instructor: change of details","50000","","","54275","15167","","Amending/deleting information","https://www.gov.uk/update-approved-driving-instructor-registration","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Signature rejections","54000","","","52542","","","Making a payment (taxes and fines)","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Request payment (CAU101, CAU105 and CAU109)","54000","","","52542","","","Requesting benefits/grants/loans","http://www.bis.gov.uk/insolvency/insolvency-profession/ISA-information/payment-forms","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Companies House","","Change of name (filing transactions)","51939","","","51939","27170","","Providing/reporting information","http://www.companieshouse.gov.uk/","","","","Business","Cost recovery"
"Ministry of Justice","MoJ","HM Courts & Tribunals Service","HMCTS","Insolvency petitions","50000","","","50000","","","Providing/reporting information","https://www.gov.uk/creditor-bankruptcy-petitions","","","","Business","Fiscal"
"Department for Education","DfE","Teaching Agency","","School experience programme registration","3209","1278","","48344","","","Registering","http://www.education.gov.uk/get-into-teaching/school-experience/~/link.aspx?_id=1EE722EAB7084A75A26C03E6C60C2EE0&_z=z","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Ordnance Survey","OS","Ordnance Survey - OpenData digital products order fulfilment","42886","42886","","47990","","","Requesting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Register and update Individual Voluntary Arrangements (IVA) - agreement between a debtor and creditors","63312","","","46674","","","Registering","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Education","DfE","Department for Education","DfE","Higher level teaching assistant (HLTA)","3284","2387","","46396","","","Providing/reporting information","http://www.education.gov.uk/schools/careers/traininganddevelopment/staff/b00202143/hlta","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Environment Agency","EA","Planning consultations","45000","","","","","","Providing/reporting information","http://www.defra.gov.uk/consult/","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Insolvency enquiry line","45798","","","44561","","","Requesting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Appointment or change of agent - F51","48591","","","44320","0","","Providing/reporting information","","Appointment or change of agent to be authorised to act in all or part of matters relating to the application of a Patent or granted Patent.","This cost is not tracked as represents a non fee bearing form","","Business","Cost recovery"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Bereavement Payment","42000","0","","43000","","","Requesting benefits/grants/loans","https://www.gov.uk/bereavement-payment/overview","","","","Citizen (challenged)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Online track claims system","","","","42600","","","Requesting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","UK Trade & Investment","UKTI","UKTI events (online registration to participate in UKTI events)","30000","","","41874","","","Registering","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Ordnance Survey","OS","Ordnance Survey - digital products order fulfilment","32034","20595","","40476","","","Requesting information","","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Provision of Strategic Environmental Assessment (SEA) and related documents","20320","","","40068","40068","","Requesting information","http://www.offshore-sea.org.uk/site/","","","","Business","Fiscal"
"Attorney General's Office","AGO","Treasury Solicitor’s Department","TSOL","Bona vacantia: referrals of estates and company assets","40000","","","","","","Providing/reporting information","http://www.bonavacantia.gov.uk/output/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Import of live animals/products of animal origin","40000","","","","","","Requesting a licence/authorisation","http://www.defra.gov.uk/animal-trade/imports-non-eu/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Wildlife licensing & registration (CITES) - Border Control Clearances system","40000","","","","","","Requesting a licence/authorisation","http://animalhealth.defra.gov.uk/cites/","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Department for Work and Pensions","DWP","Widowed Parent's Allowance/Bereavement Allowance","38000","0","","39000","","","Requesting benefits/grants/loans","https://www.gov.uk/widowed-parents-allowance","","","","Citizen (challenged)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to register a trade mark (TM3)","33950","30424","","37523","36047","216.0","Registering","https://www.gov.uk/register-a-trademark","Application to register a Trade Mark covering one or multiple class of goods or service.","These costs are based on our fee charges data produced for 10/11 and exclude policy cost","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Submit D1 Full and D2 Interim, Final IDEAL and ACTUAL and reminders","30504","","","34773","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Obtain ethnic monitoring information completed by debtors","35000","","","34055","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Income Payment Order (IPOQ) and Creditor questionnaire","31600","","","33622","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Welfare in transit","33000","","","","","","Requesting a licence/authorisation","http://www.defra.gov.uk/food-farm/animals/welfare/transport/transporter-authorisation/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Certificates of free sale","38500","","","32800","","","Ordering goods","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","CAP Import and Export Licences","26000","","","32200","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Rural Land Registration","","","","32100","","","Registering","","","","","Business","Fiscal"
"Department for Education","DfE","Teaching Agency","","Transition to teach participant registration","384","255","","31859","","","Registering","http://www.education.gov.uk/get-into-teaching/transition-to-teach.aspx","","","","Business","Fiscal"
"Department for Education","DfE","Teaching Agency","","Transition to teach employer registration","81","0","","31859","","","Registering","http://www.education.gov.uk/get-into-teaching/transition-to-teach.aspx","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Veterinary Medicines Directorate","VMD","Residues - Customers (samples)","31600","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Culture, Media and Sport","DCMS","Heritage Lottery Fund","HLF","Apply for lottery funding","30000","","","","","","Requesting benefits/grants/loans","http://www.lotteryfunding.org.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Plant Health Exports (inspections)","30000","","","","","","Requesting a licence/authorisation","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Home Office","Home Office","Disclosure and Barring Service","DBS","Data quality disputes against DBS checks","35000","","","29669","","","Providing/reporting information","https://www.gov.uk/crb-criminal-records-bureau-check/tracking-application-getting-certificate","If an applicant for a DBS check believes there to be a mistake on their certificate they can apply to DBS within 3 month to challenge the data.","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Debt Relief Order","30118","","","29305","","","Requesting a licence/authorisation","http://www.bis.gov.uk/insolvency","","","","Citizen (challenged)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","TNIDIS Form - giving authority for tax & NI","30000","","","29190","","","Requesting a licence/authorisation","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Proxy forms/Insolvency Practitioner (IP) fees","30000","","","29190","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","NTB2 information leaflet - Duties and Responsibilities of a Bankrupt","30000","","","29190","","","Requesting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Food and Environment Research Agency","Fera","Beebase","28550","","","","","","Registering","http://www.fera.defra.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Assessment of application for funding managed","","","","25457","","","","","Each application submitted is sent out to several assessors to provide TSB with independent assessment of the project appropriateness for funding. The assessors score the applications and this is aggregated and averaged so comparison with other projects can be made.","","","",""
"Department for Environment, Food and Rural Affairs","Defra","Animal Health and Veterinary Laboratories Agency","AHVLA","Poultry register","25000","","","","","","Registering","http://animalhealth.defra.gov.uk/keeping-animals/registering/poultry.html","","Number of transactions relates to registered properties rather than individual birds.","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Procedure for Electronic Application for Certificates (PEACH): fruit & vegetable imports","61000","","","25000","","","Requesting a licence/authorisation","https://www.gov.uk/using-the-peach-system-to-import-plants-and-fresh-produce","","","","Business","Fiscal"
"Ministry of Justice","MoJ","HM Courts & Tribunals Service","HMCTS","Court of Protection applications","24000","","","24000","","","Requesting a licence/authorisation","https://www.gov.uk/apply-to-the-court-of-protection","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Department for Business, Innovation and Skills","BIS","Graduate Talent Pool: graduate and employer registrations","","","","23326","","","Registering","http://graduatetalentpool.direct.gov.uk/","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Petition for Bankruptcy and  Statement of Affairs in a Debtor’s Petition","23000","","","22379","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Claims processing","95764","","","21641","","","Requesting benefits/grants/loans","","Projects engaged in grant funded activity claim via the TSB _connect platform. The claims are then processed through a approval workflow being approved by monitoring officers , grants claims team and head of department. This is processed via interaction with each approver through TSB _connect. As well as filing claim data, the customer also files supporting documentation. The Monitoring officer may also file supporting documentation. So in reality there are a number of transactions wrapped in one claim but are counted together as one transaction here.","","","Business","Fiscal"
"Department for Education","DfE","Teaching Agency","","DfE online events registration","49","49","","21596","","","Registering","http://www.education.gov.uk/get-into-teaching/events/online-events.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for grant of patent (F1)","22353","14025","","21042","15775","133.0","Requesting a licence/authorisation","","An application to apply for an intellectual property right, granted by a country's government for a limited period. A granted Patent right makes it illegal for anyone except the owner or someone with the owner's permission to make, use, import or sell the invention in the country where the Patent was granted.","These costs are based on our fee charges data produced for 10/11 and exclude policy cost","","Business","Cost recovery"
"Foreign and Commonwealth Office","FCO","Foreign and Commonwealth Office","FCO","Apply for Chevening scholarship","26000","25000","","21000","21000","","Requesting benefits/grants/loans","http://www.fco.gov.uk/en/about-us/what-we-do/scholarships/chevening/how-to-apply/","","","","Citizen (mainstream)","Fiscal"
"Ministry of Justice","MoJ","HM Courts & Tribunals Service","HMCTS","Domestic violence injunction applications","21000","","","21000","","","Requesting a licence/authorisation","http://www.judiciary.gov.uk/about-the-judiciary/advisory-bodies/fjc/family-justice-system/issues/protection-from-domesticviolence-injunctions","","","","Citizen (mainstream)","Fiscal"
"Department for Education","DfE","Teaching Agency","","Train to teach events","5411","4665","","20539","","","Registering","http://www.education.gov.uk/get-into-teaching/events/train-to-teach.aspx","","","","Citizen (mainstream)","Fiscal"
"Department for Transport","DfT","Vehicle and Operator Services Agency","VOSA","Continued authorisation update for NT and AE (manual training)","20000","","","20000","0","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Obtain Sales Transfer Information (RP18)","21000","","","19269","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Registrations for Knowledge Transfer Network (KTN)/connect access (MEMBERS)","","","","18927","","","Registering","","New registrations for membership on the TSB _connect platform is required to join communities, comment and blog, create a profile for a person or organisation, make claims from our grants system or create applications for some competitions","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Obtain new employment info (RP19)","20000","","","18352","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","UK Trade & Investment","UKTI","Business opportunities service  (expressions of interest in sales leads)","14000","","","18091","18091","","Requesting information","","","","","Business","Fiscal"
"Ministry of Justice","MoJ","Office of the Public Guardian","OPG","Enduring Powers of Attorney (applications received)","18000","","","18000","","","Requesting a licence/authorisation","http://www.justice.gov.uk/forms/opg/enduring-power-of-attorney","","","","Citizen (mainstream)","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Environment Agency","EA","Flood Warnings Registration","17500","","","","","","Registering","https://fwd.environment-agency.gov.uk/","","","","Business","Cost recovery"
"Cabinet Office","CO","Government Digital Service","GDS","Creating an e-petition","36000","36000","0.01","17150","17150","0.01","Providing/reporting information","http://epetitions.direct.gov.uk/","Users can create an e-petition about anything that the government is responsible for and, if it gets at least 100,000 signatures, it will be considered for debate in the House of Commons.","Service costs cover two separate transactions: creating an e-petition and signing an e-petition. The quoted cost-per-transaction figure combines both activities.","","Citizen (mainstream)","Fiscal"
"Department for Transport","DfT","Vehicle and Operator Services Agency","VOSA","Statutory update of bus registrations with operator licensing","19000","","","17000","3722","","Amending/deleting information","https://www.tan.gov.uk/Operator/AuthFiles/VOSA_Login.asp","","","","Business","Cost recovery"
"Foreign and Commonwealth Office","FCO","Foreign and Commonwealth Office","FCO","Academic Technology Approval Scheme (ATAS) applications","15364","","","17000","17000","","Providing/reporting information","http://www.fco.gov.uk/en/about-us/what-we-do/services-we-deliver/atas/apply-online/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Higher Education Funding Council for England","HEFCE","HE Data submissions and returns","9700","","","16478","","","Providing/reporting information","","","","","Business","Fiscal"
"HM Revenue and Customs","HMRC","Valuation Office Agency","VOA","Council tax valuation appeal","15800","3800","","","","","Providing/reporting information","https://www.gov.uk/council-tax-appeals","","","","Citizen (mainstream)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Research Councils","","Research Councils’ grants processed by UK Shared Business Services Ltd (UK SBS)","","","","15724","","","Requesting benefits/grants/loans","","Single web platform for processing applications for grants from the UK Research Councils.","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for a further search under section 17(6) or payment for a supplementary certificate under section 17(8)/Request for search - F9/F9A","15665","10490","","15665","","","Requesting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Department for Business, Innovation and Skills","BIS","Export Control Organisation SPIRE electronic licensing system","20000","","","15500","","","Requesting a licence/authorisation","http://graduatetalentpool.direct.gov.uk/","Export licence applications","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Environment Agency","EA","Generic Operator Returns","15000","","","","","","Providing/reporting information","https://gor.environment-agency.gov.uk/GORExt/login.htm","","","","Business","Cost recovery"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Customer registration / County Parish Holding allocations","17650","","","14500","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","UK Space Agency","","Space:uk magazine subscriptions","","","","14000","","1.5","Ordering goods","","Users submit online forms to subscribe to receive hard copies of our space:uk magazine.","","","",""
"Home Office","Home Office","UK Border Agency","UKBA","Drug & Precursor Chemical Import & Export authorisations","14000","","","14000","","","Requesting a licence/authorisation","http://www.homeoffice.gov.uk/drugs/licensing/nds/","Processing of electronic import/export application and physical issue of paper licence","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Protective Award benefit form (PA-BEN)","15000","","","13754","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Citizen (challenged)","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Preliminary Information Questionnaire for Bankruptcy, Company office and Debtors Petition -PIQB, PIQC, DP","14000","","","13622","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Business support","24416","","","12916","","","Requesting benefits/grants/loans","","Email exchange - the Business Support group support customers in the use of TSB systems","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Paying annual fees for anti-money laundering supervision (consumer credit financial institutions and estate agents)","12500","","","12743","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","FA initial request, company information (13 points), request to Company and FA1 claims from Employer / employees","13000","","","12649","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Technology Strategy Board","TSB","Registrations for application","","","","12555","","","","","Anyone interested in entering a TSB competition must first register for an application. This is separate to the registration for TSB _connect. Upon registering for a competition the registration will be sent or get access to the personalised application pack and competition guidance material specific to that competition.","","","",""
"Department for Environment, Food and Rural Affairs","Defra","Environment Agency","EA","Boat Registrations","12500","","","","","","Registering","http://www.environment-agency.gov.uk/homeandleisure/recreation/129910.aspx","","","","Citizen (mainstream)","Cost recovery"
"Department for Transport","DfT","Driving Standards Agency","DSA","Driving instructor: first applications","16000","","","12080","6607","","Requesting a licence/authorisation","https://www.gov.uk/apply-to-become-a-driving-instructor","","","","Business","Cost recovery"
"Department of Energy and Climate Change","DECC","Ofgem","","Renewables obligation - output data submission","26000","26000","","12000","","","Providing/reporting information","https://www.renewablesandchp.ofgem.gov.uk/","","","","Business","Fiscal"
"Ministry of Justice","MoJ","National Offender Management Service","NOMS","Community Payback nominations","12400","","","12000","","","Providing/reporting information","https://www.gov.uk/nominate-community-payback-project","","","","Citizen (mainstream)","Fiscal"
"Foreign and Commonwealth Office","FCO","Foreign and Commonwealth Office","FCO","Request an appointment at consular offices","","","","11884","11884","","Booking an appointment","http://ukinusa.fco.gov.uk/en/about-us/other-locations/houston/helpfor-british-nationals/010-orlando-appointments1","","","Figures are for digital service only","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","UK Border Agency","UKBA","Applications for asylum support (or S4 support)","15000","","","11749","","","Requesting benefits/grants/loans","","Application for support for asylum applicants who are homeless or without money to live.","","","Foreign nationals","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Renewal of trade mark (TM11)","19282","","","11677","0","2.95","Registering","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","Renewal of registered intellectual property right for a Trade Mark.","These costs are based on our fee charges data produced for 10/11 and exclude policy cost","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Update Insolvency Service Account Interest or non interest bearing account","12000","","","11676","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Veterinary Medicines Directorate","VMD","Import Certificate Applications","11500","","","","","","Requesting a licence/authorisation","http://www.vmd.defra.gov.uk/sis/default.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Dividend Payments","11468","","","11158","","","Requesting a licence/authorisation","http://www.bis.gov.uk/insolvency","","","","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Independent Police Complaints Commission","IPCC","Complaints against the police made through IPCC","12431","2207","","11150","","","Providing/reporting information","","","","","Citizen (mainstream)","Fiscal"
"Home Office","Home Office","Identity and Passport Service","IPS","Authorisation of a correction to a birth/death/marriage/civil partnership/still-birth entry","9500","","","10864","","","Amending/deleting information","","","","","Citizen (mainstream)","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Marine Management Organisation","MMO","Online Marine Licensing system","60000","","","10572","","","Requesting a licence/authorisation","http://marinemanagement.org.uk/licensing/marine/apply.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for substantive examination - F10","10070","6526","","10070","","","Requesting information","","","","","Business","Cost recovery"
"Home Office","Home Office","Disclosure and Barring Service","DBS","Data source disputes against DBS checks","12000","","","9641","","","Providing/reporting information","","If an applicant for a DBS check believes there to be a mistake on their certificate they can apply to DBS within 3 month to challenge the data.","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Employment Tribunal Data request, response, hearings and appeals (ET1, ET3)","10500","","","9635","","","Registering","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Responses to patent examinations that amend original specifications","9377","","","9377","","","Amending/deleting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Letter to Creditor","9600","","","9341","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Transport","DfT","Driving Standards Agency","DSA","Driving Instructor Renewals and Re-registrations","9000","","","9308","4667","","Amending/deleting information","https://www.gov.uk/renew-approved-driving-instructor-adi-registration","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Insolvency Service","INSS","Recover Solvent-Debt (Company unable to pay redundancy)","10000","","","9176","","","Providing/reporting information","http://www.bis.gov.uk/insolvency","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Wildlife licences","10000","","","9040","","","Requesting a licence/authorisation","http://www.naturalengland.org.uk/ourwork/regulation/wildlife/licences/default.aspx","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","CAP export refunds","22000","","","8700","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
